,ID_GRUPO,TX_NOMBRE
788,545269,"Shield, The"
789,545272,"Shield, The"
790,545273,"Shield, The"
791,545274,"Shield, The"
792,545275,"Shield, The"
793,545276,"Shield, The"
794,545278,"Shield, The"
795,545279,"Shield, The"
796,545280,"Shield, The"
797,545281,"Shield, The"
798,545282,"Shield, The"
799,545284,"Shield, The"
800,545285,"Shield, The"
801,545300,"Shield, The"
802,545301,"Shield, The"
803,545302,"Shield, The"
804,545402,Wanted (2008)
805,545409,District 9
806,545417,"A-Team, The"
807,545425,Jaws: The Revenge
808,545435,"Lizzie Mcguire Movie, The (Aka Ciao! Lizzie)"
809,545440,Look Whos Talking Too (1990)
810,545462,Conquest of the Planet of the Apes
811,545463,Unstoppable (2010)
812,545500,Desperate Housewives
813,545740,Stand Up Guys
814,545961,"media luz los tres, A"
815,546040,Les Miserables (2012)
816,546060,Django Unchained
817,546100,Fast & Furious
818,546400,Here Comes the Boom
819,546426,Parker
820,546443,Olympus Has Fallen (aka White House Taken)
821,546444,Quartet
822,546461,"Dinosaur Project, The"
823,546742,"Shield, The"
824,546744,"Shield, The"
825,547120,Alex Cross
826,547260,Battle for the Planet of the Apes
827,547316,"Shield, The"
828,547319,Michael Jacksons This is it
829,547340,"Chronicles of Narnia, The: Prince Caspian"
830,547412,"Shield, The"
831,547440,Peter Pan
832,547468,"Shield, The"
833,547471,Nine
834,547484,"Shield, The"
835,547488,Spill (A.K.A. Virus)
836,547502,Harleys Hill
837,547553,Bedtime Stories
838,547566,"Shield, The"
839,547569,"Shield, The"
840,547595,Monsters Vs. Aliens
841,547598,"Education, An"
842,547617,"Shield, The"
843,547680,Immortal Beloved
844,547690,"Shield, The"
845,547742,Daddy Day Care
846,547775,"Shield, The"
847,547792,"Shield, The"
848,547799,Hocus Pocus
849,547812,"Shield, The"
850,547820,"Shield, The"
851,547825,Mr. Deeds
852,547847,Bandidos de M̩xico
853,547855,"Shield, The"
854,547892,Karaoke - Adele - Rolling In The Deep
855,547916,"Shield, The"
856,547918,Karaoke - Bruno Mars - Dont Give Up
857,547929,Garfield
858,547958,"Shield, The"
859,547960,Hostel (2006)
860,547983,"Shield, The"
861,547994,"Book of Eli, The"
862,548026,Sugar Hill
863,548161,Charade (1963)
864,548163,Its Complicated
865,548182,"Serious Man, A"
866,548240,Kung Fu Panda
